Projekt,Branch/Issue,Pipelines (n),Build+Test erfolgreich,Build+Test erfolgreich (%),Nur Build erfolgreich,Nur Build erfolgreich (%),Build fehlgeschlagen,Build fehlgeschlagen (%),Build Erfolgsrate gesamt (%),Test Erfolgsrate gesamt (%)
B01,Issue #1,47,15,31.91,27,57.45,5,10.64,89.36,31.91
B01,Issue #2,33,7,21.21,25,75.76,1,3.03,96.97,21.21
B01,Issue #3,30,14,46.67,14,46.67,2,6.67,93.33,46.67
B01,Issue #4,38,9,23.68,20,52.63,9,23.68,76.32,23.68
B01,Issue #5,11,10,90.91,0,0.00,1,9.09,90.91,90.91
B02,Issue #1,33,10,30.30,21,63.64,2,6.06,93.94,30.30
B02,Issue #2,19,4,21.05,7,36.84,8,42.11,57.89,21.05
B02,Issue #3,24,1,4.17,12,50.00,11,45.83,54.17,4.17
B02,Issue #4,40,1,2.50,22,55.00,17,42.50,57.50,2.50
B02,Issue #5,26,5,19.23,8,30.77,13,50.00,50.00,19.23
B03,Issue #1,42,7,16.67,21,50.00,14,33.33,66.67,16.67
B03,Issue #2,34,8,23.53,10,29.41,16,47.06,52.94,23.53
B03,Issue #3,25,0,0.00,6,24.00,19,76.00,24.00,0.00
B03,Issue #4,23,0,0.00,2,8.70,21,91.30,8.70,0.00
B03,Issue #5,23,3,13.04,5,21.74,15,65.22,34.78,13.04
B04,Issue #1,18,16,88.89,0,0.00,2,11.11,88.89,88.89
B04,Issue #2,48,8,16.67,34,70.83,6,12.50,87.50,16.67
B04,Issue #3,40,11,27.50,25,62.50,4,10.00,90.00,27.50
B04,Issue #4,24,9,37.50,9,37.50,6,25.00,75.00,37.50
B04,Issue #5,53,9,16.98,39,73.58,5,9.43,90.57,16.98
B05,Issue #1,15,6,40.00,3,20.00,6,40.00,60.00,40.00
B05,Issue #2,20,0,0.00,12,60.00,8,40.00,60.00,0.00
B05,Issue #3,8,0,0.00,3,37.50,5,62.50,37.50,0.00
B05,Issue #4,27,0,0.00,18,66.67,9,33.33,66.67,0.00
B05,Issue #5,28,0,0.00,9,32.14,19,67.86,32.14,0.00
B06,Issue #1,29,5,17.24,8,27.59,16,55.17,44.83,17.24
B06,Issue #2,22,0,0.00,9,40.91,13,59.09,40.91,0.00
B06,Issue #3,29,0,0.00,11,37.93,18,62.07,37.93,0.00
B06,Issue #4,11,7,63.64,2,18.18,2,18.18,81.82,63.64
B07,Issue #1,14,4,28.57,4,28.57,6,42.86,57.14,28.57
B07,Issue #2,26,0,0.00,10,38.46,16,61.54,38.46,0.00
B07,Issue #3,18,0,0.00,13,72.22,5,27.78,72.22,0.00
B07,Issue #4,26,0,0.00,18,69.23,8,30.77,69.23,0.00
B07,Issue #5,33,0,0.00,22,66.67,11,33.33,66.67,0.00
B08,Issue #1,27,6,22.22,13,48.15,8,29.63,70.37,22.22
B08,Issue #2,30,0,0.00,13,43.33,17,56.67,43.33,0.00
B08,Issue #3,36,0,0.00,17,47.22,19,52.78,47.22,0.00
B08,Issue #4,61,1,1.64,31,50.82,29,47.54,52.46,1.64
B08,Issue #5,24,3,12.50,15,62.50,6,25.00,75.00,12.50
B09,Issue #1,18,5,27.78,7,38.89,6,33.33,66.67,27.78
B09,Issue #2,49,5,10.20,37,75.51,7,14.29,85.71,10.20
B09,Issue #3,24,1,4.17,8,33.33,15,62.50,37.50,4.17
B09,Issue #4,55,5,9.09,36,65.45,14,25.45,74.55,9.09
B09,Issue #5,21,6,28.57,12,57.14,3,14.29,85.71,28.57
B10,Issue #1,26,10,38.46,15,57.69,1,3.85,96.15,38.46
B10,Issue #2,41,1,2.44,21,51.22,19,46.34,53.66,2.44
B10,Issue #3,44,0,0.00,33,75.00,11,25.00,75.00,0.00
B10,Issue #4,30,4,13.33,19,63.33,7,23.33,76.67,13.33
B10,Issue #5,19,9,47.37,7,36.84,3,15.79,84.21,47.37
