Projekt,Branch/Issue,Pipelines (n),Build+Test erfolgreich,Build+Test erfolgreich (%),Nur Build erfolgreich,Nur Build erfolgreich (%),Build fehlgeschlagen,Build fehlgeschlagen (%),Abgebrochen/übersprungen,Abgebrochen/übersprungen (%),Build Erfolgsrate gesamt (%),Test Erfolgsrate gesamt (%)
A01,Issue #1,18,9,50.00,2,11.11,0,0.00,7,38.89,61.11,50.00
A01,Issue #2,12,0,0.00,9,75.00,0,0.00,3,25.00,75.00,0.00
A01,Issue #3,20,0,0.00,1,5.00,0,0.00,19,95.00,5.00,0.00
A01,Issue #4,5,0,0.00,0,0.00,1,20.00,4,80.00,0.00,0.00
A01,Issue #5,8,0,0.00,0,0.00,5,62.50,3,37.50,0.00,0.00
A02,Issue #1,34,18,52.94,14,41.18,2,5.88,0,0.00,94.12,52.94
A02,Issue #2,24,7,29.17,8,33.33,2,8.33,7,29.17,62.50,29.17
A02,Issue #3,25,6,24.00,9,36.00,1,4.00,9,36.00,60.00,24.00
A02,Issue #4,20,0,0.00,8,40.00,0,0.00,12,60.00,40.00,0.00
A02,Issue #5,12,0,0.00,6,50.00,3,25.00,3,25.00,50.00,0.00
A03,Issue #1,26,12,46.15,10,38.46,4,15.38,0,0.00,84.62,46.15
A03,Issue #2,35,7,20.00,12,34.29,16,45.71,0,0.00,54.29,20.00
A03,Issue #3,16,12,75.00,3,18.75,1,6.25,0,0.00,93.75,75.00
A03,Issue #4,16,12,75.00,4,25.00,0,0.00,0,0.00,100.00,75.00
A04,Issue #1,25,13,52.00,12,48.00,0,0.00,0,0.00,100.00,52.00
A04,Issue #2,65,9,13.85,55,84.62,1,1.54,0,0.00,98.46,13.85
A04,Issue #3,26,1,3.85,23,88.46,2,7.69,0,0.00,92.31,3.85
A04,Issue #4,35,0,0.00,35,100.00,0,0.00,0,0.00,100.00,0.00
A04,Issue #5,25,0,0.00,15,60.00,10,40.00,0,0.00,60.00,0.00
A05,Issue #1,21,12,57.14,7,33.33,1,4.76,1,4.76,90.48,57.14
A05,Issue #2,35,18,51.43,15,42.86,2,5.71,0,0.00,94.29,51.43
A05,Issue #3,57,4,7.02,49,85.96,4,7.02,0,0.00,92.98,7.02
A05,Issue #4,22,8,36.36,4,18.18,0,0.00,10,45.45,54.55,36.36
A05,Issue #5,26,0,0.00,1,3.85,1,3.85,24,92.31,3.85,0.00
A06,Issue #1,28,9,32.14,11,39.29,0,0.00,8,28.57,71.43,32.14
A06,Issue #2,38,7,18.42,19,50.00,2,5.26,10,26.32,68.42,18.42
A06,Issue #3,30,7,23.33,9,30.00,0,0.00,14,46.67,53.33,23.33
A06,Issue #4,33,9,27.27,13,39.39,5,15.15,6,18.18,66.67,27.27
A06,Issue #5,29,10,34.48,9,31.03,2,6.90,8,27.59,65.52,34.48
A07,Issue #1,35,6,17.14,14,40.00,1,2.86,14,40.00,57.14,17.14
A07,Issue #2,33,1,3.03,8,24.24,1,3.03,23,69.70,27.27,3.03
A07,Issue #3,37,0,0.00,17,45.95,5,13.51,15,40.54,45.95,0.00
A07,Issue #4,34,6,17.65,11,32.35,11,32.35,6,17.65,50.00,17.65
A07,Issue #5,39,2,5.13,9,23.08,3,7.69,25,64.10,28.21,5.13
A08,Issue #1,28,19,67.86,6,21.43,3,10.71,0,0.00,89.29,67.86
A08,Issue #2,22,14,63.64,8,36.36,0,0.00,0,0.00,100.00,63.64
A08,Issue #3,46,3,6.52,37,80.43,6,13.04,0,0.00,86.96,6.52
A08,Issue #4,19,16,84.21,3,15.79,0,0.00,0,0.00,100.00,84.21
A08,Issue #5,28,13,46.43,15,53.57,0,0.00,0,0.00,100.00,46.43
A09,Issue #1,30,10,33.33,17,56.67,2,6.67,1,3.33,90.00,33.33
A09,Issue #2,69,2,2.90,38,55.07,17,24.64,12,17.39,57.97,2.90
A09,Issue #3,39,0,0.00,0,0.00,1,2.56,38,97.44,0.00,0.00
A09,Issue #4,38,3,7.89,17,44.74,2,5.26,16,42.11,52.63,7.89
A09,Issue #5,28,0,0.00,11,39.29,0,0.00,17,60.71,39.29,0.00
A10,Issue #1,48,14,29.17,28,58.33,6,12.50,0,0.00,87.50,29.17
A10,Issue #2,20,12,60.00,8,40.00,0,0.00,0,0.00,100.00,60.00
A10,Issue #3,72,4,5.56,60,83.33,7,9.72,1,1.39,88.89,5.56
A10,Issue #4,62,2,3.23,55,88.71,5,8.06,0,0.00,91.94,3.23
A10,Issue #5,8,8,100.00,0,0.00,0,0.00,0,0.00,100.00,100.00
